carId;refuelDate;refuelLitres;refuelMilleage;refuelPricePerLitre;refuelType;tripHours;tripMinutes
1;2014-04-19;61.07;79425;1.385;0;0;0
1;2014-05-16;65.98;80240;1.349;0;0;0
1;2014-06-04;62.15;80993;1.299;0;0;0
1;2014-06-18;58.78;81749;1.349;0;0;0
1;2014-06-19;54.65;82477;1.369;0;0;0
1;2014-07-05;61.41;83346;1.319;0;0;0
1;2014-07-15;69.04;84209;1.334;0;0;0
1;2014-08-03;59.99;85143;1.364;0;0;0
1;2014-08-08;49.25;85768;1.334;0;0;0
1;2014-08-14;34.27;86264;1.365;0;0;0
1;2014-08-30;61.31;87027;1.369;0;0;0
1;2014-09-09;65.96;87920;1.319;0;0;0
1;2014-10-05;67.03;88741;1.309;0;0;0
1;2014-11-04;68.12;89601;1.339;0;0;0
1;2014-12-23;62.67;90349;1.099;0;0;0
1;2015-01-09;57.29;91013;1.079;0;0;0
1;2015-02-27;67.77;91798;1.189;0;0;0
1;2015-03-28;61.54;92565;1.149;0;0;0
1;2015-04-24;50.5;93199;1.179;0;0;0
1;2015-05-03;56.37;93941;1.239;0;0;0
1;2015-07-02;56.37;94680;1.239;0;0;0
1;2015-09-01;65.02;95552;1.129;0;0;0
1;2015-11-03;66.35;96388;1.108;1;0;0
1;2016-01-17;63.58;97187;0.968;1;0;0
1;2016-03-16;65.65;97952;1.099;0;0;0
1;2016-03-27;52.05;98593;1.019;0;0;0
1;2016-05-23;57.59;99308;1.038;0;0;0
1;2016-07-17;66.09;100058;1.029;0;0;0
1;2016-08-03;66.85;100866;1.079;0;0;0
1;2016-08-05;56.01;101542;1.069;0;0;0
1;2016-08-10;50.23;102180;1.069;0;0;0
1;2016-08-25;60.96;102971;1.099;0;0;0
1;2016-11-01;62.45;103681;1.099;0;0;0
1;2016-11-23;62.45;104391;1.109;0;0;0
1;2016-12-29;34.64;104707;1.149;1;0;0
1;2017-01-13;69.05;105576;1.209;0;0;0
1;2017-01-28;58.58;106273;1.129;0;0;0
1;2017-03-01;60.41;106946;1.139;0;0;0
1;2017-04-26;49.74;107457;1.129;0;0;0
1;2017-07-01;58.92;108041;1.059;0;0;0
1;2017-07-16;59.68;108773;1.069;0;0;0
1;2017-08-24;46.4;109283;1.139;1;0;0
1;2017-08-31;58.62;110026;1.089;0;0;0
1;2017-10-01;62.98;110811;1.129;0;0;0
1;2017-10-25;65.51;111566;1.129;0;0;0
1;2017-12-24;52.36;112078;1.165;0;0;0
1;2018-01-29;65.91;112848;1.209;0;0;0
1;2018-03-10;57.7;113448;1.179;0;0;0
1;2018-04-20;62.4;114138;1.218;0;0;0
1;2018-04-22;54.22;114817;1.239;0;0;0
1;2018-05-29;64.52;115616;1.274;0;0;0
1;2018-07-24;63.69;116282;1.249;0;0;0
1;2018-09-03;66.72;117085;1.289;0;0;0
1;2018-09-19;0.0;117913;1.289;0;0;0
1;2018-10-07;50.58;118532;1.329;0;0;0
1;2018-11-25;64.83;119265;1.245;0;0;0
1;2018-12-31;56.4;119909;1.109;0;0;0
1;2019-02-11;69.32;120710;1.209;0;0;0
1;2019-04-28;65.9;121366;1.359;0;0;0
1;2019-06-06;67.87;122142;1.249;0;0;0
1;2019-06-06;50.55;122769;1.299;0;0;0
1;2019-07-14;61.16;123466;1.259;0;0;0
1;2019-07-26;62.5;124225;1.274;0;0;0
1;2019-09-28;63.67;124964;1.319;0;0;0
1;2019-11-09;64.8;125686;1.285;0;0;0
1;2019-12-19;66.12;126347;1.309;0;0;0
1;2020-01-20;65.66;127142;1.309;0;0;0
1;2020-03-02;64.85;127844;1.269;0;0;0
1;2020-06-27;54.26;128474;1.139;0;0;0
1;2020-07-19;66.83;129318;1.189;1;0;0
1;2020-07-24;70.5;130243;1.149;1;0;0
1;2020-07-29;62.39;131113;1.149;1;0;0
1;2020-07-31;68.43;132042;1.209;1;0;0
1;2020-09-13;62.14;132885;1.169;1;0;0
1;2020-11-08;64.88;133698;1.189;1;0;0
1;2020-12-23;64.38;134394;1.249;0;0;0
1;2021-01-22;55.91;135042;1.299;1;0;0
1;2021-03-29;59.41;135751;1.239;1;0;0
1;2021-05-24;62.59;136469;1.409;1;0;0
1;2021-06-13;39.62;136940;1.429;1;0;0
1;2021-06-20;44.15;137699;1.359;0;0;0
1;2021-07-16;62.19;138180;1.439;1;0;0
1;2021-07-18;63.94;138998;1.459;1;0;0
1;2021-09-25;64.97;139737;1.489;1;0;0
1;2021-10-10;63.95;140587;1.469;1;0;0
1;2021-10-22;67.62;141413;1.549;1;0;0
1;2021-11-27;65.29;142167;1.449;0;0;0
1;2021-12-26;59.23;142836;1.419;0;0;0
1;2022-01-22;66.69;143668;1.499;0;0;0
1;2022-03-12;62.19;144436;1.899;0;0;0
1;2022-04-25;64.67;145144;1.929;0;0;0
1;2022-05-15;64.54;145953;1.929;0;0;0
1;2022-05-29;69.93;146820;1.929;0;0;0
1;2022-06-23;41.07;147279;2.179;0;0;0
1;2022-06-24;37.6;147778;2.179;0;0;0
1;2022-07-02;67.47;148573;2.129;0;0;0
1;2022-08-25;71.22;149383;1.689;0;0;0
1;2022-10-16;66.57;150052;1.779;0;0;0
1;2022-10-30;62.24;150829;1.809;0;0;0
1;2022-11-12;68.59;151658;1.969;0;0;0
1;2022-12-13;64.29;152319;1.699;0;0;0
1;2022-12-25;43.34;152782;1.699;0;0;0
1;2023-01-27;68.92;153545;1.789;0;0;0
1;2023-01-29;68.51;154484;1.699;0;0;0
1;2023-02-14;63.44;155210;1.679;0;0;0
1;2023-03-21;59.55;155816;1.629;0;0;0
1;2023-04-18;62.22;156527;1.559;0;0;0
1;2023-05-01;68.68;157366;1.489;0;0;0
1;2023-06-17;66.71;157987;1.499;0;0;0
1;2023-06-26;64.14;158854;1.519;0;0;0
1;2023-07-08;40.73;159612;1.539;0;0;0
1;2023-07-15;50.93;160085;1.529;0;0;0
1;2023-07-28;69.48;160877;1.579;0;0;0
1;2023-08-16;65.5;161687;1.669;0;0;0
1;2023-09-02;61.58;162536;1.679;0;0;0
1;2023-09-30;67.91;163283;1.769;0;0;0
1;2023-11-01;64.68;164019;1.679;0;0;0
1;2023-11-11;61.44;164729;1.709;0;0;0
1;2023-11-29;62.95;165438;1.629;0;0;0
1;2023-12-02;55.68;166168;1.599;0;0;0
1;2023-12-03;58.87;166983;1.812;0;0;0
